,0
0,0.0
1,0.0
2,0.337
3,0.8555
4,1.3295000000000001
5,1.7255
6,2.0869999999999997
7,2.4145
8,2.6784999999999997
9,2.9275
10,3.1475
11,3.338
12,3.5095
13,3.8024999999999998
14,3.9295
15,4.037
16,4.13
17,4.223
18,4.295999999999999
19,4.3695
20,4.428
21,4.482
22,4.531
23,4.5845
24,4.619
25,4.648
26,4.692
27,4.7165
28,4.7410000000000005
29,4.79
30,4.7995
31,4.824
32,4.8435
33,4.8535
34,4.863
35,4.873
36,4.8875
37,4.8975
38,4.907
39,4.912
40,4.912
41,4.922000000000001
42,4.9365
43,4.9365
44,4.9415
45,4.9415
46,4.946
47,4.9559999999999995
48,4.9559999999999995
49,4.961
50,4.9559999999999995
51,4.961
52,4.966
53,4.966
54,4.966
55,4.9704999999999995
56,4.9755
57,4.9704999999999995
58,4.9755
59,4.9755
60,4.9855
61,4.9704999999999995
62,4.9855
63,4.9805
64,4.9755
65,4.9855
66,4.9805
67,4.9855
68,4.9805
69,4.9855
70,4.9805
71,4.9855
72,4.9855
73,4.99
74,4.9805
75,4.9805
76,4.9805
77,4.9805
78,4.9855
79,4.9855
80,4.9855
81,4.9855
82,4.7265
83,4.2035
84,3.7195
85,3.2940000000000005
86,2.947
87,2.6195000000000004
88,2.341
89,1.862
90,1.662
91,1.4954999999999998
92,1.3245
93,1.183
94,1.0705
95,0.953
96,0.8555
97,0.7625
98,0.6845
99,0.611
100,0.5525
101,0.489
102,0.44499999999999995
103,0.396
104,0.3275
105,0.2885
106,0.259
107,0.2295
108,0.21499999999999997
109,0.1905
110,0.171
111,0.1515
112,0.137
113,0.132
114,0.1175
115,0.10250000000000001
116,0.08800000000000001
117,0.078
118,0.078
119,0.0635
120,0.054000000000000006
121,0.044000000000000004
122,0.054000000000000006
123,0.044000000000000004
124,0.033999999999999996
125,0.0295
126,0.0295
127,0.0245
128,0.0245
129,0.0245
130,0.0195
131,0.0195
132,0.01
133,0.01
134,0.014499999999999999
135,0.01
136,0.01
137,0.014499999999999999
138,0.005
139,0.01
140,0.005
141,0.0
142,0.01
143,0.0
144,0.0
145,0.01
146,0.005
147,0.0
148,0.0
149,0.005
150,0.0
151,0.0
152,0.005
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.005
159,0.005
160,0.0
161,0.005
162,0.0
163,0.08800000000000001
164,0.6355
165,1.139
166,1.564
167,2.263
168,2.5709999999999997
169,2.82
170,3.0545
171,3.265
172,3.4410000000000003
173,3.612
174,3.749
175,3.8805
176,3.993
177,4.091
178,4.184
179,4.2715
180,4.345
181,4.4085
182,4.467499999999999
183,4.565
184,4.609
185,4.643
186,4.6775
187,4.7065
188,4.731
189,4.7604999999999995
190,4.785
191,4.8045
192,4.819
193,4.8385
194,4.8485
195,4.863
196,4.868
197,4.8875
198,4.8925
199,4.912
200,4.917
201,4.917
202,4.9265
203,4.9315
204,4.9365
205,4.946
206,4.951
207,4.946
208,4.9559999999999995
209,4.961
210,4.966
211,4.961
212,4.961
213,4.961
214,4.9704999999999995
215,4.9755
216,4.9755
217,4.9704999999999995
218,4.9755
219,4.9755
220,4.9805
221,4.9805
222,4.9805
223,4.9755
224,4.9855
225,4.9755
226,4.9855
227,4.9755
228,4.9805
229,4.9855
230,4.9805
231,4.9805
232,4.9805
233,4.9855
234,4.9855
235,4.9855
236,4.9805
237,4.9855
238,4.9805
239,4.99
240,4.99
241,4.9855
242,4.9315
243,4.345
244,3.876
245,3.0645
246,2.732
247,2.4195
248,2.165
249,1.9304999999999999
250,1.73
251,1.5345
252,1.383
253,1.2315
254,1.1045
255,0.992
256,0.8845000000000001
257,0.7965
258,0.7084999999999999
259,0.6405
260,0.567
261,0.469
262,0.41050000000000003
263,0.37650000000000006
264,0.342
265,0.303
266,0.27349999999999997
267,0.2345
268,0.22499999999999998
269,0.20049999999999998
270,0.17600000000000002
271,0.1565
272,0.1415
273,0.127
274,0.11249999999999999
275,0.10749999999999998
276,0.093
277,0.0735
278,0.078
279,0.0635
280,0.0585
281,0.049
282,0.044000000000000004
283,0.044000000000000004
284,0.039
285,0.0295
286,0.0295
287,0.033999999999999996
288,0.0245
289,0.0195
290,0.0195
291,0.0195
292,0.014499999999999999
293,0.01
294,0.01
295,0.01
296,0.014499999999999999
297,0.014499999999999999
298,0.005
299,0.0
300,0.005
301,0.0
302,0.01
303,0.0
304,0.005
305,0.005
306,0.0
307,0.005
308,0.005
309,0.01
310,0.005
311,0.0
312,0.005
313,0.0
314,0.005
315,0.005
316,0.0
317,0.005
318,0.005
319,0.005
320,0.0
